URL,Mã_Tin,Tên_Xe,Năm sản xuất,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Động cơ,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Mô_Tả,Người_Liên_Hệ
https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-mt-2020-6631758,6631758,"Xe 
			
							Toyota Fortuner 
						2.4G 4x2 MT 
						2020
						- 715 Triệu",2020,Xe đã dùng,14 Km,Lắp ráp trong nước,SUV,Số tay,Dầu  2.4 L,Trắng,Đen,7 chỗ,5 cửa,RFD - Dẫn động cầu sau,"AUTO SƠN HÀ 
 |  Toyota Fortuner 2.4G 4x2 MT - 2020 cực mượt, một chiếc SUV được thịnh hành nhất nhì tại thị trường Việt Nam.
 |  Xe màu trắng , máy dầu 1 cầu, biển trắng, 1 chủ từ mới
 |  ODO : 140.000 km 
 |  Chiếc xe Fortuner mang dáng dấp hầm hố và đẳng cấp. Xe đi chơi, xe gia đình, xe đi công việc cũng quá hợp lí,trang bị hàng loạt tính năng an toàn và hiện đại ...
 |  ---
 | ✓ Cam kết không đâm đụng, ngập nước, động cơ nguyên bản
 | ✓ Hỗ trợ thủ tục vay ngân hàng
 | ✓ Hỗ trợ thủ tục pháp lý sang tên, di chuyển
 | ✓ Bao check, test toàn quốc
 | ✓ Tư vấn 24/7 mọi vấn đề về xe",Auto Sơn Hà
https://bonbanh.com/xe-lexus-lx-570-2018-6549515,6549515,"Xe 
			
							Lexus LX 
						570 
						2018
						- 5 Tỷ 950 Triệu",2018,Xe đã dùng,"93,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  5.7 L,Trắng,Đỏ,7 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"Lexus LX570
 | - Sx 2018 odo 93.000 Km
 | - màu Trắng nội thất Đỏ đô
 | - Bản 8 ghế, nhập Nhật Bản
 | - động cơ V8 5.7L AT 8 cấp
 | - 362 Mã / 530 Nm
 | - Dẫn động Awd
 | ✓ Option:
 | - Nâng hạ gầm, cửa sổ trời
 | - 2 màn hình gối đầu
 | - Cam 360, hắt kính Hud
 | - Cốp điện, hộp lạnh, hàng ghế 3 xếp điện
 | - Sưởi, làm mát lưng ghế, nhớ 3 vị trí
 | - Loa 3d Mark Levision
 | - 3 chế độ lái, vô lăng chỉnh điện
 | - Cruise control, lẫy sang số thể thao
 | - Kết nối đt, ra lệnh giọng nói
 | - 10 túi khí....
 | ⚠️ Xe bảo dưỡng chính hãng đầy đủ
 |  4 Cam Kết Bán Hàng:
 | 1 - Số Km trung thực
 | 2 - Động cơ, khung gầm nguyên bản theo nhà sx
 | 3 - Không ta i nạ n
 | 4 - Không thủy kích
 | - Bank hỗ trợ 60-65%
 |  Auto Xuyên Á 720 Trường Chinh - Tân Bình - Tphcm",Salon Auto Xuyên Á
https://bonbanh.com/xe-hyundai-accent-1.4-mt-2021-6694479,6694479,"Xe 
			
							Hyundai Accent 
						1.4 MT 
						2021
						- 319 Triệu",2021,Xe đã dùng,"100,000 Km",Lắp ráp trong nước,Sedan,Số tay,Xăng  1.4 L,Trắng,Kem,5 chỗ,4 cửa,FWD - Dẫn động cầu trước,"* Accent 1.4 MT bản Đủ - sản xuất 2021 - ODO 10 Vạn km xe cực chất!
 | Tình trạng: xe có bị lỗi đít (mất chỉ cốp)
 | Còn lại zin hết - cả hệ thống kính zin theo xe.  | 
 | - Tất cả xe bán ra đều có cam kết:
 | - Bao check test bên thứ 3
 | - Bao quay đầu hoặc đổi các lên đời
 | - Pháp lý chuẩn chỉ (sang tên chính chủ)
 | - Hỗ trợ vay bank 70% giá trị xe
 | - Hỗ trợ vận chuyển xe toàn quốc
 | Chi tiết xem xe và trải nghiệm tại: VINH QUANG AUTO - Linh Đàm - Hà Nội | 
 | VINH QUANG AUTO --- Xe chất - Giá tốt!",Vinh Quang Auto
https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2024-6685845,6685845,"Xe 
			
							Toyota Land Cruiser 
						3.5 V6 
						2024
						- 5 Tỷ 280 Triệu",2024,Xe đã dùng,"30,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.4 L,Đồng,Kem,7 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"Liên hệ ngay để được tư vấn chi tiết về sản phẩm và các trang thiết bị được lắp thêm theo xe!
 | Xe đã qua sử dụng chính hãng tại Toyota Pháp Vân
 | Xe đã được kiểm tra 176 hạng mục theo tiêu chuẩn của Toyota.
 | Xe được bảo hành và cam kết khung gầm, động cơ hộp số nguyên bản. Cam kết xe không đâm đụng, không bị ngập nước thuỷ kích.
 | Có hỗ trợ vay ngân hàng từ 70-75% giá trị xe
 | Ưu tiên thu mua đổi xe cũ lấy xe mới, xe cũ lấy xe cũ đời cao.
 | Gọi em ngay để được mua giá tốt.
 | Cám ơn quý khách đã quan tâm và sử dụng dịch vụ!",Toyota Sure Pháp Vân
https://bonbanh.com/xe-mini-cooper-s-5-door-2022-6667063,6667063,"Xe 
			
							Mini Cooper 
						S 5 Door 
						2022
						- 1 Tỷ 558 Triệu",2022,Xe đã dùng,"6,666 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  2.0 L,Xám,Nâu,5 chỗ,5 cửa,FWD - Dẫn động cầu trước,"#MINI_Cooper_S 5 Door Model 2023 Odo 6.666 Miles ( Mini 3 Cửa Cực Xinh ).  | 
 |  Màu Xám Rooftop Grey / nội thất Nâu
 |  Động cơ BMW 2.0L TwinPower Turbo công suất 192 mã lực và mô-men xoắn cực đại 280Nm. Hộp số ly hợp kép 7 cấp Steptronic.
 |  Xe trang bị: Đèn pha Full LED, mâm 1i inch Pulse Spoke, ghế da Chester Malt cao cấp, cửa sổ trời, 6 loa cao cấp, màn hình cảm ứng 8.8 inch, Apple Carplay không dây, vô lăng bọc da nappa, camera lùi,... | 
 |  Bảo hành chính hãng không giới hạn km ,Bao test hãng Toàn Quốc.
 |  Tặng ngay gói chăm sóc xe và phủ Ceramic cao cấp .
 |  CAM KẾT ; xe không đâm đụng, không ngập nước, km chuẩn.
 |  Ngân hàng hỗ trợ 70% _90% .
 |  Giá tham khảo : 1.Tỷ xxx VND",Phát Đạt Luxury Car
https://bonbanh.com/xe-mercedes_benz-s_class-s450-4matic-maybach-2020-6649708,6649708,"Xe 
			
							Mercedes Benz S class 
						S450 4Matic Maybach 
						2020
						- 4 Tỷ 499 Triệu",2020,Xe đã dùng,"42,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  3.0 L,Đen,Kem,4 chỗ,4 cửa,AWD - 4 bánh toàn thời gian,"#Mercedes_Maybach_S450 sản xuất 2020 lăn bánh chuẩn 41.111 km . Chất xe cực kỳ mới , đẹp không tỳ vết.  | 
 | Màu đen nội thất kem siêu hiếm , xe bảo dưỡng full lịch sử hãng , 1 xe duy nhất thị trường !",Mr Phong La
https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x2-at-2026-6621043,6621043,"Xe 
			
							Ford Ranger 
						XLS 2.0L 4x2 AT 
						2026
						- 595 Triệu",2026,Xe mới,,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Trắng,Đen,5 chỗ,4 cửa,RFD - Dẫn động cầu sau,"Ford Ranger XLS 2.0L 4x2 AT 2026 | 
 | Xe sẵn đủ màu, giao ngay
 | Cam kết giá tốt, cạnh tranh
 | Hỗ trợ TG lãi suất tốt, thủ tục giải ngân nhanh
 | Tư vấn tận tâm, tận tình | 
 | Ford Ranger XLS 2.0L 4x2 AT 2026 | 
 | - Ngoại hình mới hầm hố đậm chất Mỹ, thiết kế cụm đèn chữ C kiểu F150
 | - Nội thất rộng rãi 5 chỗ ngồi
 | - Động cơ Diesel 2.0L mới 170 mã lực
 | - Số tự động 6 cấp mới
 | - Tay lái trợ lực điện
 | - Rất tiếp kiệm dầu
 | - An toàn ABS, EDB, kiểm soát lật xe+trọng tải, Cruise - Lim Control, khởi hành ngang dốc
 | - 6 túi khí
 | - Hệ thống Sync 4A, màn hình cảm ứng 10 "". Kết nối Carplay, Androi Auto
 | - Màn hình công tơ mét 8 ""
 | ———————————————————
 | Tư vấn - Phục vụ 24/7 cho ACE khi cần hỗ trợ về xe",Hà Nội Ford
https://bonbanh.com/xe-toyota-alphard-luxury-executive-lounge-2018-6568875,6568875,"Xe 
			
							Toyota Alphard 
						Luxury Executive Lounge 
						2018
						- 2 Tỷ 599 Triệu",2018,Xe đã dùng,"84,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Xăng  3.5 L,Đen,Đen,7 chỗ,5 cửa,FWD - Dẫn động cầu trước,"Bách Hải auto luxury car
 | Xe đang bán :Toyota Alphard
 | Sản xuất : 2018
 | Odo : 84.000km
 | - Hệ thống âm thanh chất lượng cao với 17 loa JBL
 | -ghế VIP/chuyên cơ có thể chỉnh điện + đệm đỡ chân, mang lại tư thế ngồi rất thoải mái
 | -có màn hình riêng cho hàng ghế sau, giúp hành khách phía sau giải trí khi di chuyển.
 | -Lên ghế masage, màn hình android
 | Hỗ trợ bank 70% giá trị xe
 | * Cam kết chất lượng xe trên hợp đồng
 | • Giao xe và rút hồ sơ xe toàn quốc
 | Chi tiết vui lòng liên hệ theo số hotline
 | Showroom Bách Hải Auto - Thương hiệu đc khẳng định
 | Địa chỉ : 15 Lê Văn Lương - Trung Hòà - Cầu Giấy - Hà Nội",Bách Hải Auto
https://bonbanh.com/xe-mercedes_benz-s_class-s450-4matic-luxury-2023-6524176,6524176,"Xe 
			
							Mercedes Benz S class 
						S450 4Matic Luxury 
						2023
						- 3 Tỷ 800 Triệu",2023,Xe đã dùng,"12,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  3.0 L,Xanh,Đen,5 chỗ,4 cửa,AWD - 4 bánh toàn thời gian,"Mercedes S450 Luxury 4matic Model 2023, màu xanh đen, nội thất đen, đẹp xuất sắc, chắc chắn chuẩn bao test kiểm tra chính hãng. 
 | - Lăn bánh được 12.000km.
 | - Bảo hành chính hãng không giới hạn Km đến cuối năm 2026.
 | - S450 Luxury 4matic đời mới có thiết kế mới.
 | - Hệ thống âm thanh 3D Burmester.
 | - Ghế thương gia, Massage. 
 | - Động cơ Mild-Hybrid tiết kiệm và cực kỳ êm ái.
 | - Xe nhập Chính hãng Xuất hóa đơn .tương đương giá bán xuất đủ
 | _.
 | Auto Minh Luân cam kết:
 | + Đảm bảo không tai nạn ngập nước,
 | + Máy móc nguyên zin,
 | + Tình trạng xe còn rất mới 90/100.
 | _.
 | - Hỗ trợ khách hàng làm thủ tục vay trả góp ngân hàng lãi suất thấp
 | - Mọi thông tin về xe xin hãy liên hệ để được tư vấn tốt nhất. AUTO MINH LUAN. Salon hỗ trợ khách hàng làm thủ tục vay trả góp ngân hàng lãi suất thấp. Quý khách quan tâm vui lòng liên hệ MINH LUAN AUTO để biết thêm thông tin chi tiết.",Salon Auto Minh Luân
https://bonbanh.com/xe-hyundai-i10-grand-1.0-mt-base-2014-6693800,6693800,"Xe 
			
							Hyundai i10 
						Grand 1.0 MT Base 
						2014
						- 133 Triệu",2014,Xe đã dùng,0 Km,Nhập khẩu,Hatchback,Số tay,Xăng  1.0 L,Bạc,Nâu,5 chỗ,5 cửa,FWD - Dẫn động cầu trước,Hyundai I10 SX năm 2014 không lỗi nhỏ đẹp như mới màn hình gương kính điện tư nhân giá chọn gói ra tên chính chủ,Mê Linh Car
https://bonbanh.com/xe-volvo-s90-lwb-ultimate-b6-awd-2022-6683095,6683095,"Xe 
			
							Volvo S90 
						LWB Ultimate B6 AWD 
						2022
						- 1 Tỷ 669 Triệu",2022,Xe đã dùng,"10,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Đen,Nâu,5 chỗ,4 cửa,AWD - 4 bánh toàn thời gian,"Volvo S90 LWB B6 Ultimate - Mẫu sedan sang trọng lịch lãm đáng đồng tiền bát gạo
 | Xe chất từng chi tiết , bao check test toàn quốc 
 | Cam kết bằng văn bản không đâm đụng , thuỷ kích
 | Hỗ trợ thủ tục ngân hàng nhanh gọn
 | ACE quan tâm vui lòng liên hệ để biết thông tin chi tiết",Nguyễn Hữu Trung
https://bonbanh.com/xe-hyundai-accent-1.5-at-2024-6663386,6663386,"Xe 
			
							Hyundai Accent 
						1.5 AT 
						2024
						- 465 Triệu",2024,Xe đã dùng,"30,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Đỏ,Đen,5 chỗ,4 cửa,FWD - Dẫn động cầu trước,Hyundai accent sx 2024 bản 1.5 AT xe biển hà nội chạy 3 vạn mới như trong hẵng hỗ trợ bank 70% giá trị xe,Chợ Ô Tô Hoài Đức 79
https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2009-6633153,6633153,"Xe 
			
							Toyota Corolla altis 
						1.8G AT 
						2009
						- 289 Triệu",2009,Xe đã dùng,"120,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.8 L,Bạc,Kem,5 chỗ,4 cửa,FWD - Dẫn động cầu trước,Xe không đâm va tai nạn không ngập nước 1 chủ mua mới từ đầu zin hết siêu đẹp,Huy Long Auto
https://bonbanh.com/xe-vinfast-limo-green-at-2025-6168735,6168735,"Xe 
			
							VinFast Limo Green 
						AT 
						2025
						- 749 Triệu",2025,Xe mới,,Lắp ráp trong nước,SUV,Số tự động,Điện,Đỏ,-,7 chỗ,5 cửa,FWD - Dẫn động cầu trước,"LIMO GREEN – XE GIA ĐÌNH, XE CỦA NHÀ MÌNH!  | 
 |  Không gian rộng rãi, tăng kết nối cả gia đình với thiết kế 7 chỗ, có thể gập hàng ghế 2 và 3 phù hợp cho những chuyến đi xa hay hành trình hằng ngày. | 
 |  Quãng đường di chuyển hơn 400km sau mỗi lần sạc, sẵn sàng chinh phục mọi hành trình | 
 |  Hiệu suất vượt trội với công suất tối đa 150 kW/280 Nm, mang lại trải nghiệm lái êm ái và đầy phấn khích. | 
 | Limo Green – Sự lựa chọn hoàn hảo cho những gia đình yêu thích sự tiện nghi, bền bỉ và thân thiện với môi trường!",Salon Ô tô Vững Giang
https://bonbanh.com/xe-toyota-corolla_cross-1.8g-2021-6688878,6688878,"Xe 
			
							Toyota Corolla Cross 
						1.8G 
						2021
						- 645 Triệu",2021,Xe đã dùng,"22,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.8 L,Xanh,Đen,5 chỗ,5 cửa,FWD - Dẫn động cầu trước,"Cần bán:
 | Toyota Cross 1.8G sx 2021 
 | chạy đúng 2,2v km zin,full lịch sử hãng
 | Màu xanh,biển HN!
 | Xe đẹp ko lỗi,lấy cho người nhà yên tâm tuyệt đối!",Hải Đậu
https://bonbanh.com/xe-kia-carnival-signature-2.2d-2025-6691931,6691931,"Xe 
			
							Kia Carnival 
						Signature 2.2D 
						2025
						- 1 Tỷ 589 Triệu",2025,Xe đã dùng,"18,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu  2.2 L,Đỏ,Nâu,7 chỗ,5 cửa,FWD - Dẫn động cầu trước,"Kia Carnival 2.2D Signature sx2025
 | Màu đỏ, nội thất nâu
 | Odo: 18.000km
 | Hỗ trợ trả góp ngân hàng
 | Cam kết: xe không đâm đụng, không ngập nước, không thuỷ kích, không tua kilomet",Hoàng Thọ
https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2025-6684937,6684937,"Xe 
			
							Toyota Corolla Cross 
						1.8V 
						2025
						- 805 Triệu",2025,Xe đã dùng,"7,700 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.8 L,Xanh,Đỏ,5 chỗ,5 cửa,FWD - Dẫn động cầu trước,"ĐỈNH CAO SIÊU LƯỚT
 | ✧ Toyota Corolla Cross 1.8V nhập khẩu Thái Lan
 | ✧ Sản xuất: 2025
 | ✧ Số tự động
 | ✧ Máy xăng
 | ✧ Số chỗ ngồi: 5 chỗ
 | ✧ Màu xanh đá – Nội thất đỏ
 | ✧ ODO lăn bánh đúng: 7,700 Km. Chất xe mới 99%, không có chiếc thứ 2 trên thị trường
 | ✧ Bản Full xăng 1.8V trang bị: Gói an toàn adas TSS, camera 360 độ, ghế da cao cấp, cửa sổ trời, camera hành trình, cân bằng điện tử ...
 | ✧ TÌNH TRẠNG XE: Xe không lỗi, (động cơ, hộp số, keo chỉ, khung gầm) zin nguyên bản 100%, bốn vỏ zin theo xe, bánh sơ cua chưa hạ, nội ngoại thất sạch sẽ
 | ✧ XE ĐƯỢC CAM KẾT: Không tai nạn đâm đụng, không ngập nước, không tua km, không phạt nguội
 | ✧ Bao test hãng thầy thợ thoải mái
 | ✧ Hỗ trợ sang tên, giao xe toàn quốc, bảo hành chính hãng tới năm 2029, cam kết chất lượng bằng văn bản, nhận giao lưu trao đổi các dòng xe khác
 | ✧ Giá bán: (còn thương lượng)",Đào Huỳnh Đức
